Chnlen,StpPct,nObs,Equity,EquityMax,MaxDrawdown,NumTrades,NumPositiveTrades,PctPosTrade,AvgWinner,AvgLooser,DeltaMean,DeltaSum2_C,DeltaSum3_C,DeltaSum4_C,Var,Std,Skew,XKurt
3010,0.008,169317,358174,360276,-22767.1,494,128,0.259109,2337.31,-3792.86,0.934233,1.56952e+09,2.87012e+12,1.93096e+16,9269.69,96.2792,7815.4,1324.22
5010,0.008,169317,331534,333636,-20622.7,385,101.5,0.263636,2107.6,-3644.43,0.776874,1.2825e+09,2.71316e+12,1.89167e+16,7574.54,87.0319,10002.1,1944.29
1010,0.011,169317,518052,519218,-27610.8,581,153.5,0.2642,2883.09,-2800.42,1.87853,3.12626e+09,3.89249e+12,2.08813e+16,18463.9,135.882,3770.44,358.751
3010,0.009,169317,379343,381484,-24782.6,430,116,0.269767,2518.13,-3956.47,1.05921,1.72132e+09,2.85256e+12,1.93961e+16,10166.3,100.828,6763.03,1105.39
7010,0.009,169317,340987,343129,-22039.4,283,80.5,0.284452,2220.39,-3701.77,0.832694,1.24062e+09,2.59258e+12,1.86294e+16,7327.23,85.5992,10045.5,2046.36
5010,0.009,169317,348176,350317,-22039.4,333,92,0.276276,2243.41,-3779.09,0.87515,1.39907e+09,2.6922e+12,1.89776e+16,8263.04,90.9013,8710.58,1638.58
1010,0.012,169317,510380,511662,-28808.3,539,142,0.263451,2909.21,-2905.94,1.83314,3.35361e+09,3.94826e+12,2.13999e+16,19806.7,140.736,3442.21,319.172
1010,0.013,169317,503547,504947,-27013.3,503,133.5,0.265408,3000.86,-3301.71,1.79285,3.56529e+09,3.88943e+12,2.15598e+16,21056.9,145.11,3093.46,284.181
3010,0.01,169317,376406,377455,-23909.4,389,104.5,0.268638,2522.11,-4082.59,1.04184,1.85073e+09,2.83823e+12,1.94535e+16,10930.5,104.549,6035.81,958.642
7010,0.01,169317,337516,338564,-20567.3,257,73,0.284047,2231.87,-3876.06,0.812173,1.32219e+09,2.585e+12,1.8667e+16,7808.97,88.3684,9103.74,1804.96
5010,0.01,169317,340648,341697,-20567.3,305,84,0.27541,2251.52,-3960.53,0.830694,1.49352e+09,2.67983e+12,1.90193e+16,8820.83,93.9193,7861.27,1440.7
